ENSMUSG,Transporter
ENSMUSG00000021730,1.A.1.5.2
ENSMUSG00000036110,2.A.1.14.29
ENSMUSG00000002944,9.B.39.1.4
ENSMUSG00000041695,1.A.2.1.2
ENSMUSG00000030787,9.B.87.1.26
ENSMUSG00000021466,2.A.6.6.13
ENSMUSG00000040896,1.A.1.2.19
ENSMUSG00000026177,2.A.55.2.3
ENSMUSG00000021281,1.L.1.1.1
ENSMUSG00000022892,1.C.50.1.2
ENSMUSG00000050953,1.A.24.1.1
ENSMUSG00000029535,3.A.9.1.1
ENSMUSG00000023032,2.A.31.2.4
ENSMUSG00000034452,2.A.19.4.9
ENSMUSG00000001750,3.A.2.2.6
ENSMUSG00000004285,3.A.2.2.6
ENSMUSG00000006269,3.A.2.2.6
ENSMUSG00000006273,3.A.2.2.6
ENSMUSG00000013160,3.A.2.2.6
ENSMUSG00000015575,3.A.2.2.6
ENSMUSG00000019210,3.A.2.2.6
ENSMUSG00000019302,3.A.2.2.6
ENSMUSG00000020566,3.A.2.2.6
ENSMUSG00000021114,3.A.2.2.6
ENSMUSG00000022295,3.A.2.2.6
ENSMUSG00000024121,3.A.2.2.6
ENSMUSG00000024403,3.A.2.2.6
ENSMUSG00000026394,3.A.2.2.6
ENSMUSG00000028238,3.A.2.2.6
ENSMUSG00000033379,3.A.2.2.6
ENSMUSG00000033793,3.A.2.2.6
ENSMUSG00000038023,3.A.2.2.6
ENSMUSG00000038600,3.A.2.2.6
ENSMUSG00000039105,3.A.2.2.6
ENSMUSG00000039347,3.A.2.2.6
ENSMUSG00000052459,3.A.2.2.6
ENSMUSG00000053375,3.A.2.2.6
ENSMUSG00000030516,8.A.24.1.9
ENSMUSG00000029015,2.A.53.2.19
ENSMUSG00000032204,1.A.8.9.2
ENSMUSG00000044216,1.A.2.1.18
ENSMUSG00000028854,2.A.36.1.13
ENSMUSG00000003153,2.A.1.1.91
ENSMUSG00000041797,3.A.1.211.16
ENSMUSG00000022365,3.A.16.1.1
ENSMUSG00000028452,3.A.16.1.1
ENSMUSG00000039703,3.A.16.1.1
ENSMUSG00000052562,2.A.1.19.33
ENSMUSG00000063590,2.A.1.19.33
ENSMUSG00000067656,2.A.1.19.33
ENSMUSG00000075044,2.A.1.19.33
ENSMUSG00000029219,2.A.28.1.7
ENSMUSG00000060204,2.A.28.1.7
ENSMUSG00000045534,1.A.1.2.4
ENSMUSG00000047959,1.A.1.2.4
ENSMUSG00000061306,2.A.18.6.16
ENSMUSG00000032204,1.A.8.9.14
ENSMUSG00000054662,1.A.17.1.5
ENSMUSG00000034224,2.A.18.6.12
ENSMUSG00000051726,1.A.1.2.18
ENSMUSG00000031170,2.A.18.6.8
ENSMUSG00000007107,3.A.3.1.16
ENSMUSG00000056494,1.A.1.5.37
ENSMUSG00000027953,2.A.123.1.11
ENSMUSG00000031297,2.A.3.3.10
ENSMUSG00000023030,2.A.55.2.1
ENSMUSG00000036570,1.A.27.1.8
ENSMUSG00000021135,2.A.28.1.9
ENSMUSG00000023088,3.A.1.208.8
ENSMUSG00000000216,1.A.6.1.1
ENSMUSG00000030340,1.A.6.1.1
ENSMUSG00000030873,1.A.6.1.1
ENSMUSG00000058441,1.A.25.2.2
ENSMUSG00000031142,1.A.1.11.11
ENSMUSG00000079262,2.A.60.1.25
ENSMUSG00000079037,1.C.48.1.2
ENSMUSG00000027071,1.A.7.1.6
ENSMUSG00000031447,9.A.16.1.1
ENSMUSG00000026791,2.A.1.1.89
ENSMUSG00000059336,1.A.28.1.5
ENSMUSG00000038064,1.H.1.1.3
ENSMUSG00000030108,2.A.22.3.8
ENSMUSG00000031129,2.A.36.1.19
ENSMUSG00000050822,2.A.57.1.5
ENSMUSG00000021335,2.A.1.14.15
ENSMUSG00000038026,1.A.2.1.19
ENSMUSG00000030235,2.A.60.1.15
ENSMUSG00000036251,1.A.4.5.13
ENSMUSG00000031146,1.A.64.5.2
ENSMUSG00000057762,1.A.64.5.2
ENSMUSG00000062609,1.A.2.1.4
ENSMUSG00000032769,1.A.4.6.7
ENSMUSG00000037451,2.A.1.19.16
ENSMUSG00000041301,3.A.1.202.1
ENSMUSG00000060961,2.A.31.2.12
ENSMUSG00000001739,1.H.1.1.9
ENSMUSG00000059412,1.A.27.2.1
ENSMUSG00000005952,1.A.4.2.1
ENSMUSG00000028803,2.A.7.25.3
ENSMUSG00000001436,2.A.48.1.1
ENSMUSG00000037579,1.A.1.20.5
ENSMUSG00000031343,1.A.9.5.7
ENSMUSG00000029468,1.A.7.1.9
ENSMUSG00000021072,8.A.88.2.5
ENSMUSG00000020261,2.A.18.8.1
ENSMUSG00000074796,2.A.31.4.1
ENSMUSG00000011118,1.A.25.2.3
ENSMUSG00000004988,1.A.27.1.4
ENSMUSG00000047501,1.H.1.1.6
ENSMUSG00000052726,1.A.1.3.6
ENSMUSG00000024659,1.A.31.1.3
ENSMUSG00000051331,1.A.1.11.4
ENSMUSG00000037996,2.A.19.4.11
ENSMUSG00000004317,2.A.49.2.16
ENSMUSG00000047797,1.A.24.1.2
ENSMUSG00000051596,1.A.110.1.2
ENSMUSG00000019894,2.A.22.6.7
ENSMUSG00000001225,2.A.53.2.18
ENSMUSG00000038178,2.A.1.44.2
ENSMUSG00000000197,1.A.1.11.15
ENSMUSG00000021198,1.A.1.11.15
ENSMUSG00000055567,1.A.1.11.15
ENSMUSG00000014786,2.A.36.1.16
ENSMUSG00000031633,2.A.29.1.2
ENSMUSG00000036565,1.A.48.1.4
ENSMUSG00000029700,2.A.47.1.19
ENSMUSG00000034917,8.A.24.1.13
ENSMUSG00000037242,1.A.12.1.6
ENSMUSG00000023073,2.A.28.1.2
ENSMUSG00000020798,2.A.1.49.12
ENSMUSG00000009214,1.N.2.1.1
ENSMUSG00000079471,1.N.2.1.1
ENSMUSG00000066705,1.A.27.1.3
ENSMUSG00000030500,2.A.1.14.31
ENSMUSG00000022199,2.A.1.19.8
ENSMUSG00000044367,2.A.1.13.17
ENSMUSG00000021490,2.A.58.1.5
ENSMUSG00000047298,1.A.1.2.24
ENSMUSG00000058975,1.A.1.2.24
ENSMUSG00000020524,1.A.10.1.23
ENSMUSG00000017740,2.A.30.1.18
ENSMUSG00000022899,2.A.17.4.8
ENSMUSG00000031876,1.A.64.5.5
ENSMUSG00000110430,1.A.64.5.5
ENSMUSG00000029847,2.A.40.6.7
ENSMUSG00000019969,1.A.54.1.1
ENSMUSG00000018800,3.A.1.211.9
ENSMUSG00000024112,1.A.1.11.5
ENSMUSG00000029862,2.A.49.2.1
ENSMUSG00000043673,1.A.1.2.15
ENSMUSG00000028008,1.A.6.1.11
ENSMUSG00000040883,9.A.55.1.1
ENSMUSG00000019935,2.A.1.14.32
ENSMUSG00000028386,2.A.1.50.2
ENSMUSG00000041052,2.A.3.8.24
ENSMUSG00000023995,9.A.24.1.17
ENSMUSG00000020792,1.F.2.1.2
ENSMUSG00000021357,1.F.2.1.2
ENSMUSG00000029763,1.F.2.1.2
ENSMUSG00000034152,1.F.2.1.2
ENSMUSG00000036435,1.F.2.1.2
ENSMUSG00000053799,1.F.2.1.2
ENSMUSG00000061244,1.F.2.1.2
ENSMUSG00000074030,1.F.2.1.2
ENSMUSG00000056966,1.A.24.1.7
ENSMUSG00000030307,2.A.22.3.9
ENSMUSG00000043964,1.A.52.1.2
ENSMUSG00000014444,1.A.75.1.1
ENSMUSG00000029321,2.A.28.1.3
ENSMUSG00000001672,1.A.64.6.1
ENSMUSG00000042529,1.A.2.1.9
ENSMUSG00000050520,1.H.1.1.7
ENSMUSG00000020142,2.A.23.3.1
ENSMUSG00000030737,2.A.60.1.20
ENSMUSG00000010095,2.A.3.8.5
ENSMUSG00000027737,2.A.3.8.5
ENSMUSG00000006519,5.B.1.1.1
ENSMUSG00000015340,5.B.1.1.1
ENSMUSG00000021629,2.A.4.4.3
ENSMUSG00000024673,1.A.37.1.1
ENSMUSG00000027075,2.A.1.44.1
ENSMUSG00000021983,3.A.3.8.8
ENSMUSG00000000263,1.A.9.3.1
ENSMUSG00000018589,1.A.9.3.1
ENSMUSG00000028020,1.A.9.3.1
ENSMUSG00000038257,1.A.9.3.1
ENSMUSG00000025993,2.A.100.1.4
ENSMUSG00000025986,2.A.5.4.6
ENSMUSG00000060332,1.A.17.4.1
ENSMUSG00000021541,1.A.4.1.2
ENSMUSG00000032902,2.A.1.13.1
ENSMUSG00000027365,1.A.4.5.1
ENSMUSG00000001986,1.A.10.1.4
ENSMUSG00000066150,1.A.56.1.2
ENSMUSG00000030237,2.A.60.1.6
ENSMUSG00000046959,2.A.53.2.16
ENSMUSG00000001225,2.A.53.2.3
ENSMUSG00000058921,2.A.28.1.6
ENSMUSG00000045980,2.A.18.10.1
ENSMUSG00000068615,1.A.24.1.4
ENSMUSG00000032769,1.A.4.6.3
ENSMUSG00000062252,1.A.82.1.1
ENSMUSG00000029503,1.A.7.1.2
ENSMUSG00000027957,2.A.7.12.16
ENSMUSG00000037685,3.A.3.8.13
ENSMUSG00000040724,1.A.1.2.10
ENSMUSG00000020524,1.A.10.1.1
ENSMUSG00000007041,1.A.12.1.2
ENSMUSG00000022696,1.A.79.1.2
ENSMUSG00000024411,1.A.8.8.5
ENSMUSG00000039908,2.A.53.1.9
ENSMUSG00000026435,2.A.2.4.8
ENSMUSG00000096146,1.A.2.1.17
ENSMUSG00000042476,3.A.1.201.3
ENSMUSG00000010122,2.A.66.1.18
ENSMUSG00000029072,9.A.14.7.10
ENSMUSG00000018171,8.A.97.1.1
ENSMUSG00000029544,8.A.82.1.11
ENSMUSG00000032375,1.A.121.1.1
ENSMUSG00000053040,1.A.121.1.1
ENSMUSG00000032017,1.A.10.1.9
ENSMUSG00000029205,1.A.9.1.22
ENSMUSG00000049555,1.A.9.1.22
ENSMUSG00000066279,1.A.9.1.22
ENSMUSG00000027748,1.A.4.1.12
ENSMUSG00000055368,2.A.22.1.2
ENSMUSG00000063354,2.A.5.4.1
ENSMUSG00000032338,1.A.1.5.10
ENSMUSG00000022464,2.A.18.6.7
ENSMUSG00000020264,2.A.18.8.2
ENSMUSG00000022462,2.A.18.6.4
ENSMUSG00000036083,2.A.1.14.28
ENSMUSG00000029868,1.A.4.2.14
ENSMUSG00000006574,2.A.31.1.1
ENSMUSG00000018900,2.A.1.19.3
ENSMUSG00000063652,2.A.1.19.3
ENSMUSG00000030376,2.A.19.3.5
ENSMUSG00000073725,9.A.54.1.1
ENSMUSG00000034591,1.A.26.2.2
ENSMUSG00000005950,1.A.7.1.11
ENSMUSG00000036899,1.A.4.2.3
ENSMUSG00000020261,2.A.18.8.7
ENSMUSG00000018569,1.H.1.1.2
ENSMUSG00000030762,1.A.8.10.16
ENSMUSG00000023387,1.A.1.9.10
ENSMUSG00000015488,1.A.55.1.1
ENSMUSG00000041378,1.H.1.1.16
ENSMUSG00000024650,2.A.1.19.4
ENSMUSG00000053897,2.A.5.4.8
ENSMUSG00000067813,2.A.112.1.12
ENSMUSG00000034520,1.A.24.2.4
ENSMUSG00000027340,2.A.40.6.2
ENSMUSG00000031997,1.A.4.1.5
ENSMUSG00000063873,2.A.19.4.10
ENSMUSG00000039710,2.A.3.8.14
ENSMUSG00000007034,2.A.92.1.7
ENSMUSG00000025993,2.A.100.1.1
ENSMUSG00000030382,4.C.1.1.8
ENSMUSG00000036251,1.A.4.5.7
ENSMUSG00000035238,1.A.1.9.12
ENSMUSG00000021171,9.A.57.1.2
ENSMUSG00000020102,2.A.1.13.5
ENSMUSG00000057193,2.A.92.1.4
ENSMUSG00000040918,2.A.48.1.2
ENSMUSG00000075420,1.A.113.5.6
ENSMUSG00000038115,1.A.17.1.3
ENSMUSG00000040111,9.B.198.2.5
ENSMUSG00000009731,1.A.1.2.28
ENSMUSG00000022132,1.H.1.1.10
ENSMUSG00000024749,1.A.17.4.6
ENSMUSG00000020447,2.A.6.6.6
ENSMUSG00000039728,2.A.22.2.10
ENSMUSG00000015243,3.A.1.211.14
ENSMUSG00000028836,2.A.4.3.6
ENSMUSG00000033770,2.A.49.2.15
ENSMUSG00000046623,1.A.24.1.14
ENSMUSG00000028544,2.A.21.3.17
ENSMUSG00000020651,2.A.53.2.17
ENSMUSG00000000560,1.A.9.5.2
ENSMUSG00000007653,1.A.9.5.2
ENSMUSG00000018567,1.A.9.5.2
ENSMUSG00000040010,2.A.3.8.1
ENSMUSG00000066152,1.A.56.1.9
ENSMUSG00000031209,8.A.105.1.1
ENSMUSG00000028360,2.A.92.1.5
ENSMUSG00000027690,2.A.1.1.29
ENSMUSG00000023169,2.A.18.6.1
ENSMUSG00000026220,2.A.1.13.12
ENSMUSG00000037202,1.C.39.2.8
ENSMUSG00000038496,2.A.48.1.4
ENSMUSG00000025726,2.A.41.2.3
ENSMUSG00000021609,2.A.22.1.3
ENSMUSG00000023033,1.A.1.10.8
ENSMUSG00000047037,2.A.7.25.1
ENSMUSG00000024030,3.A.1.204.12
ENSMUSG00000040447,2.A.1.49.6
ENSMUSG00000063142,1.A.1.3.10
ENSMUSG00000025161,2.A.1.13.6
ENSMUSG00000022843,2.A.49.2.12
ENSMUSG00000066058,1.H.1.1.5
ENSMUSG00000026062,2.A.36.1.17
ENSMUSG00000055489,1.A.17.1.2
ENSMUSG00000026614,2.A.4.2.5
ENSMUSG00000001248,9.B.198.2.6
ENSMUSG00000022949,1.A.12.1.4
ENSMUSG00000046808,3.A.3.8.25
ENSMUSG00000059742,1.A.1.20.3
ENSMUSG00000041771,2.A.19.4.5
ENSMUSG00000028412,2.A.92.1.1
ENSMUSG00000027338,1.C.48.1.4
ENSMUSG00000098754,1.C.48.1.4
ENSMUSG00000058740,1.A.1.3.7
ENSMUSG00000064210,1.A.17.1.4
ENSMUSG00000042797,1.A.8.4.1
ENSMUSG00000038148,1.H.1.1.1
ENSMUSG00000069855,2.A.66.1.16
ENSMUSG00000005107,2.A.1.1.72
ENSMUSG00000079436,1.A.2.1.8
ENSMUSG00000015093,1.A.12.1.7
ENSMUSG00000024957,1.A.1.9.3
ENSMUSG00000010064,2.A.18.6.2
ENSMUSG00000037434,2.A.4.2.3
ENSMUSG00000055078,1.A.9.5.15
ENSMUSG00000079258,1.A.84.1.1
ENSMUSG00000022051,1.A.20.1.2
ENSMUSG00000031672,9.A.70.1.1
ENSMUSG00000035283,9.A.14.3.11
ENSMUSG00000045665,2.A.1.40.2
ENSMUSG00000034416,1.A.5.1.8
ENSMUSG00000021313,1.A.3.1.1
ENSMUSG00000038963,2.A.60.1.9
ENSMUSG00000057092,1.A.27.1.2
ENSMUSG00000027070,9.B.87.1.1
ENSMUSG00000045763,1.A.71.1.1
ENSMUSG00000009246,1.A.4.5.3
ENSMUSG00000027546,3.A.3.8.16
ENSMUSG00000027712,1.A.31.1.7
ENSMUSG00000009092,3.A.16.1.4
ENSMUSG00000018442,3.A.16.1.4
ENSMUSG00000019789,3.A.16.1.4
ENSMUSG00000020964,3.A.16.1.4
ENSMUSG00000024807,3.A.16.1.4
ENSMUSG00000032115,3.A.16.1.4
ENSMUSG00000040289,3.A.16.1.4
ENSMUSG00000051431,3.A.16.1.4
ENSMUSG00000022462,2.A.18.6.5
ENSMUSG00000018820,1.R.1.1.1
ENSMUSG00000024068,1.R.1.1.1
ENSMUSG00000024091,1.R.1.1.1
ENSMUSG00000026781,1.R.1.1.1
ENSMUSG00000026858,1.R.1.1.1
ENSMUSG00000029020,1.R.1.1.1
ENSMUSG00000033335,1.R.1.1.1
ENSMUSG00000054455,1.R.1.1.1
ENSMUSG00000071657,1.R.1.1.1
ENSMUSG00000074746,1.R.1.1.1
ENSMUSG00000020894,1.F.1.1.4
ENSMUSG00000020903,1.F.1.1.4
ENSMUSG00000027273,1.F.1.1.4
ENSMUSG00000009545,1.A.1.15.6
ENSMUSG00000023829,2.A.1.19.29
ENSMUSG00000027015,5.B.2.1.3
ENSMUSG00000036298,2.A.1.1.25
ENSMUSG00000028255,1.A.13.1.6
ENSMUSG00000013275,1.A.26.2.1
ENSMUSG00000045679,2.A.43.3.2
ENSMUSG00000037994,2.A.36.2.2
ENSMUSG00000022575,1.C.123.1.1
ENSMUSG00000032269,1.A.9.2.1
ENSMUSG00000037578,1.A.5.2.2
ENSMUSG00000026726,9.B.87.1.34
ENSMUSG00000037578,1.A.5.1.3
ENSMUSG00000046634,1.A.5.1.3
ENSMUSG00000031934,1.A.25.2.1
ENSMUSG00000018507,1.A.4.2.4
ENSMUSG00000037656,2.A.20.2.3
ENSMUSG00000044378,2.A.17.3.10
ENSMUSG00000027397,2.A.20.2.7
ENSMUSG00000005553,3.A.3.1.2
ENSMUSG00000031449,3.A.3.1.2
ENSMUSG00000022303,1.N.1.1.1
ENSMUSG00000027670,1.N.1.1.1
ENSMUSG00000055447,1.N.1.1.1
ENSMUSG00000079020,2.A.2.4.7
ENSMUSG00000028542,2.A.22.2.12
ENSMUSG00000000794,1.A.1.16.7
ENSMUSG00000034714,1.A.48.1.3
ENSMUSG00000057193,2.A.92.1.2
ENSMUSG00000034908,1.A.79.1.3
ENSMUSG00000030324,9.A.14.1.2
ENSMUSG00000057060,2.A.7.24.8
ENSMUSG00000026278,1.A.21.1.7
ENSMUSG00000054342,1.A.1.16.2
ENSMUSG00000032327,2.A.90.1.3
ENSMUSG00000023829,2.A.1.19.1
ENSMUSG00000055811,1.H.1.1.13
ENSMUSG00000042367,1.A.24.1.10
ENSMUSG00000022265,2.A.66.9.1
ENSMUSG00000034258,2.A.1.28.4
ENSMUSG00000044217,1.A.8.8.9
ENSMUSG00000022560,2.A.125.1.1
ENSMUSG00000030310,2.A.22.3.2
ENSMUSG00000060212,9.A.80.1.1
ENSMUSG00000058743,1.A.2.1.5
ENSMUSG00000037762,2.A.1.13.16
ENSMUSG00000023393,2.A.1.14.21
ENSMUSG00000031596,2.A.3.3.2
ENSMUSG00000020422,1.A.51.1.3
ENSMUSG00000032313,1.A.51.1.3
ENSMUSG00000055322,1.A.51.1.3
ENSMUSG00000064267,1.A.51.1.3
ENSMUSG00000050234,1.A.24.1.6
ENSMUSG00000037336,2.A.2.3.16
ENSMUSG00000029802,3.A.1.204.2
ENSMUSG00000024650,2.A.1.19.31
ENSMUSG00000001027,1.A.1.10.4
ENSMUSG00000034533,1.A.1.10.6
ENSMUSG00000034107,1.A.17.1.27
ENSMUSG00000002908,1.A.1.16.6
ENSMUSG00000016346,1.A.1.15.2
ENSMUSG00000021553,2.A.41.2.8
ENSMUSG00000020178,9.A.14.3.8
ENSMUSG00000036292,9.B.198.2.7
ENSMUSG00000028008,1.A.6.1.3
ENSMUSG00000027577,1.A.9.1.6
ENSMUSG00000027950,1.A.9.1.6
ENSMUSG00000070570,2.A.1.14.13
ENSMUSG00000023013,1.A.8.8.8
ENSMUSG00000020704,1.A.6.1.8
ENSMUSG00000031089,2.A.22.2.3
ENSMUSG00000048827,1.A.5.1.2
ENSMUSG00000090122,8.A.10.3.2
ENSMUSG00000041482,1.A.75.1.2
ENSMUSG00000051951,2.A.112.1.11
ENSMUSG00000079263,2.A.60.1.4
ENSMUSG00000037681,9.A.57.1.3
ENSMUSG00000062949,3.A.3.8.14
ENSMUSG00000023802,5.B.1.1.4
ENSMUSG00000016319,2.A.29.1.1
ENSMUSG00000036960,1.A.13.1.10
ENSMUSG00000010122,2.A.66.1.14
