MAP,MAP Name
map00010  ,Glycolysis / Gluconeogenesis
map00020  ,Citrate cycle (TCA cycle)
map00030  ,Pentose phosphate pathway
map00040  ,Pentose and glucuronate interconversions
map00051  ,Fructose and mannose metabolism
map00052  ,Galactose metabolism
map00053  ,Ascorbate and aldarate metabolism
map00061  ,Fatty acid biosynthesis
map00062  ,Fatty acid elongation
map00071  ,Fatty acid degradation
map00100  ,Steroid biosynthesis
map00120  ,Primary bile acid biosynthesis
map00130  ,Ubiquinone and other terpenoid-quinone biosynthesis
map00140  ,Steroid hormone biosynthesis
map00190  ,Oxidative phosphorylation
map00220  ,Arginine biosynthesis
map00230  ,Purine metabolism
map00232  ,Caffeine metabolism
map00240  ,Pyrimidine metabolism
map00250  ,"Alanine, aspartate and glutamate metabolism"
map00260  ,"Glycine, serine and threonine metabolism"
map00270  ,Cysteine and methionine metabolism
map00280  ,"Valine, leucine and isoleucine degradation"
map00290  ,"Valine, leucine and isoleucine biosynthesis"
map00310  ,Lysine degradation
map00330  ,Arginine and proline metabolism
map00340  ,Histidine metabolism
map00350  ,Tyrosine metabolism
map00360  ,Phenylalanine metabolism
map00380  ,Tryptophan metabolism
map00400  ,"Phenylalanine, tyrosine and tryptophan biosynthesis"
map00410  ,beta-Alanine metabolism
map00430  ,Taurine and hypotaurine metabolism
map00440  ,Phosphonate and phosphinate metabolism
map00450  ,Selenocompound metabolism
map00470  ,D-Amino acid metabolism
map00480  ,Glutathione metabolism
map00500  ,Starch and sucrose metabolism
map00510  ,N-Glycan biosynthesis
map00511  ,Other glycan degradation
map00512  ,Mucin type O-glycan biosynthesis
map00513  ,Various types of N-glycan biosynthesis
map00514  ,Other types of O-glycan biosynthesis
map00515  ,Mannose type O-glycan biosynthesis
map00520  ,Amino sugar and nucleotide sugar metabolism
map00524  ,"Neomycin, kanamycin and gentamicin biosynthesis"
map00531  ,Glycosaminoglycan degradation
map00532  ,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
map00533  ,Glycosaminoglycan biosynthesis - keratan sulfate
map00534  ,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
map00561  ,Glycerolipid metabolism
map00562  ,Inositol phosphate metabolism
map00563  ,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map00564  ,Glycerophospholipid metabolism
map00565  ,Ether lipid metabolism
map00590  ,Arachidonic acid metabolism
map00591  ,Linoleic acid metabolism
map00592  ,alpha-Linolenic acid metabolism
map00600  ,Sphingolipid metabolism
map00601  ,Glycosphingolipid biosynthesis - lacto and neolacto series
map00603  ,Glycosphingolipid biosynthesis - globo and isoglobo series
map00604  ,Glycosphingolipid biosynthesis - ganglio series
map00620  ,Pyruvate metabolism
map00630  ,Glyoxylate and dicarboxylate metabolism
map00640  ,Propanoate metabolism
map00650  ,Butanoate metabolism
map00670  ,One carbon pool by folate
map00730  ,Thiamine metabolism
map00740  ,Riboflavin metabolism
map00750  ,Vitamin B6 metabolism
map00760  ,Nicotinate and nicotinamide metabolism
map00770  ,Pantothenate and CoA biosynthesis
map00780  ,Biotin metabolism
map00785  ,Lipoic acid metabolism
map00790  ,Folate biosynthesis
map00830  ,Retinol metabolism
map00860  ,Porphyrin metabolism
map00900  ,Terpenoid backbone biosynthesis
map00910  ,Nitrogen metabolism
map00920  ,Sulfur metabolism
map00980  ,Metabolism of xenobiotics by cytochrome P450
map00982  ,Drug metabolism - cytochrome P450
map00983  ,Drug metabolism - other enzymes
map01040  ,Biosynthesis of unsaturated fatty acids