CPD,CPD1
C00025,C00217
C00025,C00302
C00041,C00133
C00047,C00739
C00047,C16440
C00049,C00402
C00049,C16433
C00062,C00792
C00064,C00819
C00064,C00303
C00065,C00740
C00065,C00716
C00077,C00515
C00077,C01602
C00078,C00525
C00078,C00806
C00082,C06420
C00082,C01536
C00085,C05345
C00092,C01172
C00092,C00668
C00093,C03189
C00097,C00793
C00097,C00736
C00103,C00663
C00117,C03736
C00123,C16439
C00123,C01570
C00135,C06419
C00135,C00768
C00148,C16435
C00148,C00763
C00152,C01905
C00152,C16438
C00155,C05330
C00183,C16436
C00183,C06417
C00186,C01432
C00186,C00256
C00188,C00820
C00191,C16245
C00197,C00597
C00199,C01101
C00301,C01882
C00318,C15025
C00318,C00487
C00328,C01718
C00354,C05378
C00369,C00721
C00369,C00718
C00407,C06418
C00407,C16434
C00491,C01420
C00661,C00118
C00711,C00149
C00711,C00497
C00745,C16150
C00745,C16386
C00898,C02107
C01005,C02532
C01015,C01157
C01089,C03197
C01159,C03339
C01182,C01151
C01551,C02350
C01551,C02348
C02291,C00542
C02356,C02261
C02614,C00815
C02614,C02612
C02630,C01087
C02630,C03196
C02794,C03227
C03510,C03829
C04501,C04256
C04548,C01869
C05145,C03284
C05145,C01205
C05771,C03194
C06393,C03401
C11527,C03198
C11527,C05343